Do, Move with Lil to the black mountain hills of Dakota
Do, Lose Lil to Danny
Do, Get hit in the eye by Danny
Do, Walk into town seeking revenge
Do, Book room at local saloon
Do, Check into room and read Gideon's bible
Do, Drink too much gin
Do, Overhear Lil and Danny in neighboring room
Do, Burst into neighboring room and declare a showdown
Do, Get shot by Danny and collapse in corner
Do, Visit doctor
Do, Return to room and read Gideon's bible
Do, Sing along! D'do d'do d'do do do d'do d'do d'do mountain hills of Dakota
